model,tariff,household,run_seed,energy_cost_reduction_pct,oracle_gap_pct,total_token_cost_usd,avg_latency_ms,daily_api_cost_usd,breakeven_months
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,22.14,84.83,0.0,3034.5,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,27.126,22.947,0.0,3136.3,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,23.379,81.356,0.0,3213.5,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,29.038,68.613,0.0,3263.9,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,21.812,30.957,0.0,3318.7,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,44,23.342,28.895,0.0,3100.2,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,apartment,43,30.427,55.958,0.0,2933.6,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,apartment,42,33.836,49.554,0.0,3047.7,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,apartment,44,24.548,69.331,0.0,3065.6,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,small_suburban,42,21.841,64.423,0.0,3130.2,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,small_suburban,43,23.723,59.777,0.0,3001.8,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,large_suburban,42,20.83,15.128,0.0,2996.4,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,large_suburban,43,20.391,14.55,0.0,3046.5,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,small_suburban,44,27.298,52.339,0.0,3265.0,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,large_suburban,44,16.238,21.481,0.0,2977.0,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,apartment,44,26.815,51.597,0.0,3018.0,0.0,0.0
deepseek/deepseek-chat,comed_hourly,small_suburban,42,67.911,0.0,0.0,3030.9,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,apartment,43,28.496,49.22,0.0,3706.9,0.0,0.0
deepseek/deepseek-chat,comed_hourly,small_suburban,43,71.272,0.0,0.0,3503.6,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,apartment,42,30.714,44.887,0.0,3849.0,0.0,0.0
deepseek/deepseek-chat,comed_hourly,large_suburban,43,80.129,0.0,0.0,2747.8,0.0,0.0
deepseek/deepseek-chat,comed_hourly,apartment,42,38.396,128.646,0.0,2686.9,0.0,0.0
deepseek/deepseek-chat,comed_hourly,large_suburban,42,79.446,0.0,0.0,3347.7,0.0,0.0
deepseek/deepseek-chat,comed_hourly,large_suburban,44,76.068,0.0,0.0,3075.0,0.0,0.0
deepseek/deepseek-chat,comed_hourly,small_suburban,44,76.34,0.0,0.0,3899.3,0.0,0.0
deepseek/deepseek-chat,comed_hourly,apartment,44,36.161,132.851,0.0,2754.3,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,small_suburban,44,6.257,121.881,0.0,2439.2,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,small_suburban,42,6.611,121.9,0.0,2996.4,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,small_suburban,43,5.064,125.365,0.0,2789.8,0.0,0.0
deepseek/deepseek-chat,comed_hourly,apartment,43,42.105,112.353,0.0,3591.1,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,large_suburban,42,1.602,66.01,0.0,2547.9,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,apartment,42,10.099,103.208,0.0,2520.0,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,large_suburban,44,1.004,66.455,0.0,2569.5,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,large_suburban,43,-5.375,76.493,0.0,2732.8,0.0,
meta-llama/llama-4-maverick,pge_etou_c,apartment,43,1.125,121.641,0.0,2517.3,0.0,0.0
meta-llama/llama-4-maverick,pge_etou_c,apartment,44,8.073,106.304,0.0,2145.0,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,small_suburban,44,16.743,74.454,0.0,2093.5,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,small_suburban,42,14.659,79.532,0.0,2353.5,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,large_suburban,42,3.588,40.2,0.0,2384.2,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,small_suburban,43,11.287,85.828,0.0,3476.2,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,large_suburban,43,4.919,36.814,0.0,1990.2,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,large_suburban,44,8.249,33.068,0.0,2027.0,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,apartment,42,13.568,80.742,0.0,2268.0,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,apartment,43,15.832,75.647,0.0,2269.5,0.0,0.0
meta-llama/llama-4-maverick,sce_tou_d_prime,apartment,44,15.842,74.327,0.0,1866.0,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,small_suburban,42,36.384,0.0,0.0,2401.2,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,small_suburban,43,43.299,0.0,0.0,2703.7,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,large_suburban,42,41.512,0.0,0.0,2212.0,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,small_suburban,44,56.126,0.0,0.0,2935.4,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,large_suburban,43,52.272,0.0,0.0,2309.7,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,large_suburban,44,47.273,0.0,0.0,2373.8,0.0,0.0
openai/gpt-4.1,pge_etou_c,small_suburban,42,39.939,42.711,0.0,1532.4,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,apartment,42,23.486,183.984,0.0,2403.9,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,apartment,43,11.901,223.137,0.0,2110.5,0.0,0.0
meta-llama/llama-4-maverick,comed_hourly,apartment,44,17.132,202.262,0.0,2147.3,0.0,0.0
openai/gpt-4.1,pge_etou_c,small_suburban,43,34.881,54.584,0.0,1791.7,0.0,0.0
openai/gpt-4.1,pge_etou_c,large_suburban,42,25.661,25.418,0.0,1433.4,0.0,0.0
openai/gpt-4.1,pge_etou_c,large_suburban,43,25.732,24.392,0.0,1525.2,0.0,0.0
openai/gpt-4.1,pge_etou_c,small_suburban,44,37.727,47.394,0.0,1796.2,0.0,0.0
openai/gpt-4.1,pge_etou_c,large_suburban,44,25.772,24.81,0.0,1441.3,0.0,0.0
openai/gpt-4.1,pge_etou_c,apartment,42,38.344,39.364,0.0,1742.3,0.0,0.0
openai/gpt-4.1,pge_etou_c,apartment,43,38.169,38.602,0.0,1426.0,0.0,0.0
openai/gpt-4.1,pge_etou_c,apartment,44,36.263,43.04,0.0,1464.6,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,small_suburban,43,29.036,48.648,0.0,1400.4,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,small_suburban,42,26.035,55.599,0.0,1796.0,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,large_suburban,42,13.854,25.272,0.0,1469.9,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,small_suburban,44,30.133,46.397,0.0,1810.7,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,large_suburban,43,16.856,19.637,0.0,1588.9,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,large_suburban,44,15.476,22.586,0.0,1471.4,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,apartment,42,32.062,42.069,0.0,1829.2,0.0,0.0
openai/gpt-4.1,comed_hourly,small_suburban,42,88.787,0.0,0.0,1388.6,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,apartment,43,29.476,47.175,0.0,1705.0,0.0,0.0
openai/gpt-4.1,comed_hourly,small_suburban,43,87.804,0.0,0.0,1735.7,0.0,0.0
openai/gpt-4.1,sce_tou_d_prime,apartment,44,28.091,48.955,0.0,1858.7,0.0,0.0
openai/gpt-4.1,comed_hourly,small_suburban,44,87.282,0.0,0.0,1497.0,0.0,0.0
openai/gpt-4.1,comed_hourly,large_suburban,42,88.407,0.0,0.0,1431.8,0.0,0.0
openai/gpt-4.1,comed_hourly,large_suburban,43,89.41,0.0,0.0,1422.0,0.0,0.0
openai/gpt-4.1,comed_hourly,large_suburban,44,88.503,0.0,0.0,1375.2,0.0,0.0
openai/gpt-4.1,comed_hourly,apartment,43,52.921,72.68,0.0,1389.1,0.0,0.0
openai/gpt-4.1,comed_hourly,apartment,42,52.54,76.15,0.0,2166.7,0.0,0.0
openai/gpt-4.1,comed_hourly,apartment,44,50.426,80.819,0.0,1554.9,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,small_suburban,42,42.485,36.661,0.0,3376.4,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,small_suburban,43,43.905,33.163,0.0,3480.9,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,small_suburban,44,41.21,39.15,0.0,3481.6,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,large_suburban,42,38.091,4.448,0.0,3409.2,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,large_suburban,43,34.291,10.056,0.0,3418.0,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,apartment,42,38.375,39.296,0.0,3099.9,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,large_suburban,44,36.754,6.343,0.0,3698.5,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,apartment,43,38.117,38.718,0.0,3114.6,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,apartment,44,37.985,39.176,0.0,3021.8,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,small_suburban,42,27.33,52.874,0.0,3885.8,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,small_suburban,43,27.566,51.727,0.0,3395.9,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,large_suburban,42,23.787,10.828,0.0,3453.9,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,small_suburban,44,25.842,55.389,0.0,3758.3,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,large_suburban,43,21.546,12.888,0.0,3350.1,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,large_suburban,44,23.395,11.102,0.0,3357.6,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,apartment,42,23.525,59.921,0.0,3044.4,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,apartment,43,22.692,61.333,0.0,2919.9,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,apartment,44,22.842,59.827,0.0,3035.2,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,small_suburban,42,97.303,0.0,0.0,3448.6,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,small_suburban,43,101.964,0.0,0.0,3508.5,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,small_suburban,44,96.637,0.0,0.0,3545.3,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,large_suburban,42,100.794,0.0,0.0,3455.2,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,large_suburban,43,105.312,0.0,0.0,3375.1,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,large_suburban,44,104.612,0.0,0.0,3289.9,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,apartment,42,52.357,76.83,0.0,3156.0,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,apartment,43,50.203,82.65,0.0,3124.2,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,apartment,44,51.834,75.683,0.0,3851.0,0.0,0.0
